URL,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
https://open.spotify.com/track/3mwCGXffSsLqyWxNqPmYUd,0.507,Merengue y Sentimiento,0.732,234027.0,0.754,False,https://i.scdn.co/image/719e7a8de1dc61bdb438669ff3f124755e380987,0.0,4.0,0.119,-4.024,0.0,36.0,0.0311,130.043,4.0,0.856
https://open.spotify.com/track/4pGPEeukr7WdK7pCummNhQ,0.196,I Am Merengue,0.834,245029.0,0.914,False,https://i.scdn.co/image/897385bd2ca4e34b5307112f5461b8f734517c18,1.66e-05,8.0,0.489,-4.243,1.0,38.0,0.153,92.032,4.0,0.929
https://open.spotify.com/track/54riTpVFf5WkiyPCU3N7at,0.146,Merengue Worldwide MixHits 2012,0.778,227855.0,0.909,False,https://i.scdn.co/image/b4d92f6378c575a2c1096a92422f79c2857d8561,0.232,11.0,0.197,-8.974,1.0,33.0,0.0974,168.002,4.0,0.794
https://open.spotify.com/track/7IlywUbjL6TBFQyAzCqOsf,0.204,Dime Tú (Merengue),0.814,227828.0,0.871,False,https://i.scdn.co/image/1c46bea626cab98262f4602ca6fbf0f039d5c166,0.000101,0.0,0.172,-5.285,0.0,37.0,0.0382,108.995,4.0,0.944
https://open.spotify.com/track/0PntVsUoKGUnbdGWDjEFid,0.157,Avansando (Merengue),0.727,157701.0,0.426,False,https://i.scdn.co/image/f7a660481acabb27c2b2adda9ad2f8d19ad06045,0.011,0.0,0.118,-15.202,1.0,32.0,0.0867,143.288,4.0,0.786
https://open.spotify.com/track/1ErRQbmUoydARXb8QSIGz4,0.28,Plena Que Se Pega,0.77,269813.0,0.995,False,https://i.scdn.co/image/a5658d4ac8d478635ceedb53a85f9297263d9b21,0.0,5.0,0.521,-4.605,0.0,25.0,0.253,147.037,4.0,0.71
https://open.spotify.com/track/60wTGJ7lLyluc3O2JqyEJF,0.231,Ole Brazil,0.809,210339.0,0.912,False,https://i.scdn.co/image/7762a9866285a22dc6b456aa81ea1b3632753b5d,0.0101,2.0,0.0582,-3.612,1.0,31.0,0.133,133.009,4.0,0.91
https://open.spotify.com/track/0TojU1usxxNIq61AuAc1rI,0.491,Merengue y Sentimiento,0.751,219280.0,0.814,False,https://i.scdn.co/image/719e7a8de1dc61bdb438669ff3f124755e380987,0.0,11.0,0.209,-3.338,0.0,34.0,0.0329,127.059,4.0,0.809
https://open.spotify.com/track/7IbufSftZ94hTrS1RiHeA4,0.0774,Sueños De Libertad,0.157,387213.0,0.953,False,https://i.scdn.co/image/a5594973a287dac9960300ae6bd6976fc38d4564,0.0714,9.0,0.356,-4.653,0.0,0.0,0.0733,177.746,4.0,0.512
https://open.spotify.com/track/2xrSjOd5mU3VlV0gS30FXp,0.141,Sueños De Libertad,0.421,285413.0,0.915,False,https://i.scdn.co/image/a5594973a287dac9960300ae6bd6976fc38d4564,6.15e-06,2.0,0.294,-5.171,0.0,1.0,0.0515,84.24,4.0,0.429
https://open.spotify.com/track/7gbe1RssqCTHztIr5mBNck,0.033,Best of Euro Dance Music Hits Songs 90's. Lo Mejor de la Música Dance Dance Eurodance de los 90,0.895,182413.0,0.725,False,https://i.scdn.co/image/cbe7a1454cfca3970a9a340e8f7851e0a05fe9cf,0.0516,7.0,0.0304,-6.966,1.0,35.0,0.226,100.017,4.0,0.814
https://open.spotify.com/track/3qAbWM4yvuji7JQkCSF7Wi,0.0438,Best of Euro Dance Music Hits Songs 90's. Lo Mejor de la Música Dance Dance Eurodance de los 90,0.714,229787.0,0.912,False,https://i.scdn.co/image/cbe7a1454cfca3970a9a340e8f7851e0a05fe9cf,0.146,6.0,0.36,-6.063,1.0,35.0,0.0358,137.886,4.0,0.942
https://open.spotify.com/track/2twDCFeR56SN1MuCswlQvu,0.0273,Euro Trance Festival (Best of EDM / Eurodance / Electro House),0.531,133182.0,0.921,False,https://i.scdn.co/image/dca3850e8513f9e4af5ca656369a788b5d4ea176,0.382,0.0,0.083,-9.303,1.0,20.0,0.0363,132.003,4.0,0.5
https://open.spotify.com/track/6Ah12EL1Y3dnajjxaeGsuU,0.0254,Euro Trance Festival (Best of EDM / Eurodance / Electro House),0.583,231110.0,0.813,False,https://i.scdn.co/image/dca3850e8513f9e4af5ca656369a788b5d4ea176,0.44,7.0,0.139,-9.023,1.0,19.0,0.0352,101.256,1.0,0.184
https://open.spotify.com/track/2Hdo0jzZB5r7ZkyB658RWk,0.00934,Eurodance: Italo Disco for a New Year (2014),0.711,192787.0,0.973,False,https://i.scdn.co/image/524a4a2f3c9895c020c382385d4b8b2596e9cca9,0.432,4.0,0.339,-9.642,0.0,43.0,0.0308,144.914,4.0,0.985
https://open.spotify.com/track/4cyEuwp6EvPkztOwN2bIBt,8.19e-05,Euro Trance Festival (Best of EDM / Eurodance / Electro House),0.66,124228.0,0.602,False,https://i.scdn.co/image/dca3850e8513f9e4af5ca656369a788b5d4ea176,0.906,1.0,0.0741,-7.334,1.0,18.0,0.0358,129.954,4.0,0.552
https://open.spotify.com/track/06uqwmq8BG7xUMrhoIFEbN,0.00491,Eurodance Party,0.712,229627.0,0.953,False,https://i.scdn.co/image/b9f352f9bb6ad0020a6e48bf1fc4e5e08229683b,0.0271,3.0,0.113,-6.865,0.0,19.0,0.0354,139.354,4.0,0.735
